Oplot,Pplot,Pweed,Pinsect,Oweed,Oinsect,Family,weight,Dam,Leaves,%Dam,flower,pods,survive,fecundity,,Plot,#surv,insect,weed,#start,%survival
20,14,1,0,1,1,25,2.8834,,,,,,0,,,,,,,,
20,14,1,0,1,1,16,2.3867,,,,,,0,,,,,,,,
20,15,0,0,1,1,6,2.2263,,,,,,0,,,,,,,,
20,18,0,1,1,1,27,2.3337,2,8,0.063,2,0,1,2,,,,,,,
20,23,1,1,1,1,17,4.4249,0,3,0,0,0,1,0,,,,,,,
20,24,1,1,1,1,14,2.9707,3,9,0.083,0,1,1,1,,,,,,,
21,2,1,0,0,0,8,2.0521,0,2,,,,0,,,,,,,,
21,4,0,1,0,0,28,3.1929,10,14,0.179,1,0,1,1,,,,,,,
21,5,1,1,0,0,24,3.9913,5,8,0.156,2,1,1,3,,,,,,,
21,6,0,0,0,0,23,3.6947,0,4,0,0,2,1,2,,,,,,,
21,6,0,0,0,0,7,4.0181,2,12,0.042,1,2,1,3,,,,,,,
21,6,0,0,0,0,10,2.7894,,,,,,0,,,,,,,,
21,7,0,0,0,0,29,3.4672,5,14,0.089,1,2,1,3,,,,,,,
21,7,0,0,0,0,4,3.5692,,,,,,0,,,,,,,,
21,7,0,0,0,0,29,3.3474,,,,,,0,,,,,,,,
21,7,0,0,0,0,7,3.6013,,,,,,0,,,,,,,,
21,8,1,0,0,0,10,3.7189,22,24,0.229,2,3,1,5,,,,,,,
21,9,0,1,0,0,18,4.8261,18,19,0.237,3,4,1,7,,,,,,,
21,9,0,1,0,0,18,2.382,2,6,,,,0,,,,,,,,
21,10,1,0,0,0,12,1.8029,0,4,,,,0,,,,,,,,
21,10,1,0,0,0,29,3.1415,,0,,,,0,,,,,,,,
21,11,0,1,0,0,21,2.8225,3,10,0.075,1,0,1,1,,,,,,,
21,14,1,0,0,0,16,3.7806,1,7,0.036,0,3,1,3,,,,,,,
21,14,1,0,0,0,3,4.1909,,,,,,0,,,,,,,,
21,15,0,0,0,0,6,2.3474,,,,,,0,,,,,,,,
21,17,1,1,0,0,7,4.1356,19,21,0.226,1,0,1,1,,,,,,,
21,17,1,1,0,0,26,4.4697,,0,,,,0,,,,,,,,
21,18,0,1,0,0,5,4.2278,,,,,,0,,,,,,,,
21,19,0,1,0,0,11,2.6229,5,5,0.25,0,2,1,2,,,,,,,
21,19,0,1,0,0,4,3.4634,4,4,0.25,0,2,1,2,,,,,,,
21,19,0,1,0,0,29,3.5221,,,,,,0,,,,,,,,
21,19,0,1,0,0,12,5.1668,1,4,,,,0,,,,,,,,
21,20,0,0,0,0,10,3.1849,1,10,0.025,0,3,1,3,,,,,,,
21,20,0,0,0,0,15,2.488,,,,,,0,,,,,,,,
21,21,1,0,0,0,22,3.2965,11,17,0.162,1,3,1,4,,,,,,,
21,22,1,1,0,0,2,4.1136,7,7,0.25,0,2,1,2,,,,,,,
21,22,1,1,0,0,6,3.7652,16,16,0.25,2,1,1,3,,,,,,,
21,23,1,1,0,0,19,2.9792,,,,,,0,,,,,,,,
21,24,1,1,0,0,18,3.8885,12,10,0.3,0,3,1,3,,,,,,,
21,24,1,1,0,0,1,3.7833,14,17,0.206,1,3,1,4,,,,,,,
21,24,1,1,0,0,2,4.1218,10,33,0.076,1,5,1,6,,,,,,,
22,5,1,1,1,0,10,2.7272,,,,,,0,,,,,,,,
22,6,0,0,1,0,20,2.9347,0,4,0,0,1,1,1,,,,,,,
22,6,0,0,1,0,20,4.535,,,,,,0,,,,,,,,
22,7,0,0,1,0,12,2.7,0,8,0,0,2,1,2,,,,,,,
22,10,1,0,1,0,10,2.156,0,4,0,0,0,1,0,,,,,,,
22,10,1,0,1,0,23,2.8953,6,8,0.188,0,1,1,1,,,,,,,
22,13,1,1,1,0,3,3.1871,,,,,,0,,,,,,,,
22,13,1,1,1,0,22,2.8578,,,,,,0,,,,,,,,
22,18,0,1,1,0,22,3.7438,1,5,0.05,1,1,1,2,,,,,,,
22,20,0,0,1,0,5,4.8899,0,10,0,0,2,1,2,,,,,,,
22,23,1,1,1,0,8,3.4271,,,,,,0,,,,,,,,
22,24,1,1,1,0,18,4.1911,2,10,0.05,0,4,1,4,,,,,,,
23,2,1,0,1,1,11,2.5028,1,8,0.031,0,2,1,2,,,,,,,
23,4,0,1,1,1,11,3.8002,5,17,0.074,2,3,1,5,,,,,,,
23,5,1,1,1,1,9,4.3026,2,11,0.045,2,1,1,3,,,,,,,
23,5,1,1,1,1,8,3.0252,4,16,0.063,1,4,1,5,,,,,,,
23,6,0,0,1,1,6,3.3024,,,,,,0,,,,,,,,
23,6,0,0,1,1,6,2.7348,,,,,,0,,,,,,,,
23,7,0,0,1,1,10,2.0359,2,18,0.028,0,3,1,3,,,,,,,
23,7,0,0,1,1,6,2.6384,,,,,,0,,,,,,,,
23,8,1,0,1,1,12,3.6839,4,23,0.043,0,3,1,3,,,,,,,
23,8,1,0,1,1,4,2.8218,3,13,0.058,1,4,1,5,,,,,,,
23,8,1,0,1,1,10,3.6035,,,,,,0,,,,,,,,
23,9,0,1,1,1,8,3.2271,1,9,0.028,1,0,1,1,,,,,,,
23,9,0,1,1,1,9,3.9017,3,11,0.068,2,1,1,3,,,,,,,
23,9,0,1,1,1,8,2.858,1,23,0.011,1,3,1,4,,,,,,,
23,9,0,1,1,1,10,2.9973,2,18,0.028,0,4,1,4,,,,,,,
23,10,1,0,1,1,9,2.3916,,,,,,0,,,,,,,,
23,11,0,1,1,1,10,3.7504,10,33,0.076,0,7,1,7,,,,,,,
23,11,0,1,1,1,10,4.2961,,,,,,0,,,,,,,,
23,12,0,1,1,1,9,3.4534,3,6,0.125,0,2,1,2,,,,,,,
23,13,1,1,1,1,24,4.3052,0,31,0,2,3,1,5,,,,,,,
23,13,1,1,1,1,16,3.6027,,,,,,0,,,,,,,,
23,14,1,0,1,1,2,4.3284,6,23,0.065,0,5,1,5,,,,,,,
23,17,1,1,1,1,1,4.7613,13,52,0.063,2,11,1,13,,,,,,,
23,18,0,1,1,1,16,1.9575,1,8,0.031,0,4,1,4,,,,,,,
23,18,0,1,1,1,30,3.8162,11,26,0.106,1,4,1,5,,,,,,,
23,21,1,0,1,1,3,3.4339,2,15,0.033,0,1,1,1,,,,,,,
23,21,1,0,1,1,21,4.1016,1,16,0.016,1,2,1,3,,,,,,,
23,21,1,0,1,1,10,3.1074,4,20,0.05,1,4,1,5,,,,,,,
23,22,1,1,1,1,21,4.9785,4,37,0.027,3,0,1,3,,,,,,,
23,23,1,1,1,1,18,2.8258,0,10,0,1,1,1,2,,,,,,,
23,23,1,1,1,1,2,3.0938,,,,,,0,,,,,,,,
24,6,0,0,0,1,20,2.6457,,,,,,0,,,,,,,,
24,6,0,0,0,1,23,3.5851,,,,,,0,,,,,,,,
24,7,0,0,0,1,6,2.1605,,,,,,0,,,,,,,,
24,8,1,0,0,1,12,3.5638,,,,,,0,,,,,,,,
24,10,1,0,0,1,4,3.2555,0,3,0,0,1,1,1,,,,,,,
24,11,0,1,0,1,21,3.7411,,,,,,0,,,,,,,,
24,11,0,1,0,1,12,1.9348,,,,,,0,,,,,,,,
24,11,0,1,0,1,8,3.9732,,,,,,0,,,,,,,,
24,13,1,1,0,1,24,4.1555,,,,,,0,,,,,,,,
24,14,1,0,0,1,27,2.6451,,,,,,0,,,,,,,,
24,14,1,0,0,1,2,3.6162,,,,,,0,,,,,,,,
24,14,1,0,0,1,16,3.7232,,,,,,0,,,,,,,,
24,17,1,1,0,1,7,4.8162,,,,,,0,,,,,,,,
24,20,0,0,0,1,5,5.5159,2,3,0.167,1,1,1,2,,,,,,,
24,20,0,0,0,1,15,4.2368,,,,,,0,,,,,,,,
24,22,1,1,0,1,6,4.3443,7,3,0.583,0,0,1,0,,,,,,,
24,22,1,1,0,1,22,2.8137,,,,,,0,,,,,,,,
24,22,1,1,0,1,6,3.5169,,,,,,0,,,,,,,,
24,22,1,1,0,1,2,3.7684,,,,,,0,,,,,,,,
24,24,1,1,0,1,1,2.2147,,,,,,0,,,,,,,,
