Oplot,Pplot,Pweed,Pinsect,Oweed,Oinsect,Family,weight,Dam,Leaves,%Dam,flower,pods,survive,fecundity,,Plot,#surv,insect,weed,#start,%survival
4,6,0,0,1,1,10,2.9311,0,6,0,0,1,1,1,,,,,,,
4,6,0,0,1,1,6,1.9301,0,2,0,0,1,1,1,,,,,,,
4,6,0,0,1,1,20,2.9225,1,8,0.031,0,2,1,2,,,,,,,
4,6,0,0,1,1,7,4.6388,1,13,0.019,0,8,1,8,,,,,,,
4,7,0,0,1,1,29,3.485,0,1,0,0,2,1,2,,,,,,,
4,7,0,0,1,1,18,1.9369,0,4,0,1,3,1,4,,,,,,,
4,7,0,0,1,1,18,2.8059,,,,,,0,,,,,,,,
4,8,1,0,1,1,5,3.6795,2,6,0.083,0,1,1,1,,,,,,,
4,8,1,0,1,1,2,2.365,0,9,0,0,9,1,9,,,,,,,
4,8,1,0,1,1,10,3.607,,,,,,0,,,,,,,,
4,9,0,1,1,1,6,2.3447,1,7,0.036,0,1,1,1,,,,,,,
4,9,0,1,1,1,8,3.374,4,6,0.167,0,1,1,1,,,,,,,
4,9,0,1,1,1,27,4.7402,,,,,,0,,,,,,,,
4,10,1,0,1,1,12,4.5794,1,2,0.125,0,1,1,1,,,,,,,
4,11,0,1,1,1,8,3.9089,0,7,0,0,2,1,2,,,,,,,
4,11,0,1,1,1,23,5.2116,,,,,,0,,,,,,,,
4,12,0,1,1,1,1,2.3021,0,4,0,0,1,1,1,,,,,,,
4,12,0,1,1,1,9,2.426,0,4,0,0,1,1,1,,,,,,,
4,12,0,1,1,1,9,3.7503,2,9,0.056,0,5,1,5,,,,,,,
4,13,1,1,1,1,13,3.5915,0,9,0,0,4,1,4,,,,,,,
4,13,1,1,1,1,19,4.0784,2,12,0.042,1,4,1,5,,,,,,,
4,13,1,1,1,1,27,2.9493,0,6,0,0,6,1,6,,,,,,,
4,14,1,0,1,1,18,2.2263,0,2,0,0,1,1,1,,,,,,,
4,14,1,0,1,1,9,1.4335,2,4,0.125,1,3,1,4,,,,,,,
4,15,0,0,1,1,13,3.2303,1,8,0.031,0,4,1,4,,,,,,,
4,16,0,0,1,1,8,1.4862,,,,,,0,,,,,,,,
4,20,0,0,1,1,15,4.5184,0,10,0,2,5,1,7,,,,,,,
4,22,1,1,1,1,11,4.8218,5,13,0.096,0,6,1,6,,,,,,,
4,22,1,1,1,1,22,3.7876,,,,,,0,,,,,,,,
4,23,1,1,1,1,13,3.4519,0,8,0,0,3,1,3,,,,,,,
4,23,1,1,1,1,17,4.4889,0,7,0,0,3,1,3,,,,,,,
4,23,1,1,1,1,4,2.7068,0,8,0,0,3,1,3,,,,,,,
4,23,1,1,1,1,17,3.1682,,,,,,0,,,,,,,,
5,2,1,0,0,0,2,3.3694,0,4,0,0,1,1,1,,,,,,,
5,5,1,1,0,0,27,2.7908,1,5,0.05,0,2,1,2,,,,,,,
5,5,1,1,0,0,15,2.2059,,,,,,0,,,,,,,,
5,6,0,0,0,0,6,2.4353,2,2,0.25,0,2,1,2,,,,,,,
5,6,0,0,0,0,10,3.7319,,,,,,0,,,,,,,,
5,7,0,0,0,0,7,4.0358,2,7,0.071,2,2,1,4,,,,,,,
5,7,0,0,0,0,4,3.6187,,,,,,0,,,,,,,,
5,7,0,0,0,0,26,3.9573,,,,,,0,,,,,,,,
5,8,1,0,0,0,4,3.091,1,4,0.063,0,0,1,0,,,,,,,
5,8,1,0,0,0,12,3.8735,,,,,,0,,,,,,,,
5,8,1,0,0,0,4,3.2085,,,,,,0,,,,,,,,
5,9,0,1,0,0,19,2.6718,0,2,0,0,1,1,1,,,,,,,
5,9,0,1,0,0,18,4.4383,2,3,0.167,0,1,1,1,,,,,,,
5,11,0,1,0,0,10,3.3343,,,,,,0,,,,,,,,
5,11,0,1,0,0,10,2.5656,,,,,,0,,,,,,,,
5,12,0,1,0,0,4,3.4899,,,,,,0,,,,,,,,
5,14,1,0,0,0,4,2.4994,3,3,0.25,0,0,1,0,,,,,,,
5,14,1,0,0,0,25,2.9136,2,6,0.083,1,2,1,3,,,,,,,
5,17,1,1,0,0,1,3.2924,0,4,0,0,1,1,1,,,,,,,
5,17,1,1,0,0,1,5.2628,,,,,,0,,,,,,,,
5,18,0,1,0,0,6,3.2099,0,3,0,0,0,1,0,,,,,,,
5,19,0,1,0,0,3,3.5851,4,3,0.333,0,0,1,0,,,,,,,
5,20,0,0,0,0,15,4.4673,2,3,0.167,0,0,1,0,,,,,,,
5,20,0,0,0,0,15,4.291,2,10,0.05,0,2,1,2,,,,,,,
5,21,1,0,0,0,22,3.4112,0,1,0,0,1,1,1,,,,,,,
5,23,1,1,0,0,13,3.383,11,6,0.458,0,2,1,2,,,,,,,
5,24,1,1,0,0,17,2.9842,7,6,0.292,1,2,1,3,,,,,,,
5,24,1,1,0,0,18,3.0436,,,,,,0,,,,,,,,
6,1,1,0,0,1,4,2.1934,0,7,0,1,1,1,2,,,,,,,
6,1,1,0,0,1,17,3.6721,6,6,0.25,1,1,1,2,,,,,,,
6,2,1,0,0,1,20,2.1036,,,,,,0,,,,,,,,
6,4,0,1,0,1,11,3.8289,5,14,0.089,1,8,1,9,,,,,,,
6,5,1,1,0,1,9,4.3971,1,4,0.063,1,1,1,2,,,,,,,
6,6,0,0,0,1,6,3.6888,3,8,0.094,1,2,1,3,,,,,,,
6,6,0,0,0,1,10,2.8547,3,6,0.125,1,2,1,3,,,,,,,
6,6,0,0,0,1,7,4.1226,,,,,,0,,,,,,,,
6,7,0,0,0,1,6,3.0209,1,7,0.036,2,1,1,3,,,,,,,
6,7,0,0,0,1,7,4.1942,0,10,0,3,3,1,6,,,,,,,
6,7,0,0,0,1,7,3.8013,2,20,0.025,6,3,1,9,,,,,,,
6,8,1,0,0,1,16,2.0179,,,,,,0,,,,,,,,
6,9,0,1,0,1,24,2.3343,,,,,,0,,,,,,,,
6,10,1,0,0,1,21,3.2849,4,6,0.167,2,0,1,2,,,,,,,
6,10,1,0,0,1,9,3.6445,,,,,,0,,,,,,,,
6,11,0,1,0,1,8,3.3594,,,,,,0,,,,,,,,
6,12,0,1,0,1,25,4.4255,2,17,0.029,3,4,1,7,,,,,,,
6,12,0,1,0,1,1,2.7019,5,83,0.015,0,36,1,36,,,,,,,
6,13,1,1,0,1,24,3.0218,2,3,0.167,2,0,1,2,,,,,,,
6,17,1,1,0,1,1,3.6335,7,8,0.219,1,2,1,3,,,,,,,
6,18,0,1,0,1,27,3.0848,3,8,0.094,1,2,1,3,,,,,,,
6,18,0,1,0,1,30,3.7511,2,7,0.071,1,2,1,3,,,,,,,
6,18,0,1,0,1,19,3.3654,,,,,,0,,,,,,,,
6,18,0,1,0,1,19,4.0922,,,,,,0,,,,,,,,
6,19,0,1,0,1,29,3.7025,3,9,0.083,1,3,1,4,,,,,,,
6,20,0,0,0,1,5,4.6047,1,5,0.05,1,,1,1,,,,,,,
6,20,0,0,0,1,5,4.6197,2,5,0.1,0,1,1,1,,,,,,,
6,20,0,0,0,1,10,3.2261,7,8,0.219,0,1,1,1,,,,,,,
6,20,0,0,0,1,12,4.0112,1,7,0.036,2,1,1,3,,,,,,,
6,20,0,0,0,1,15,4.3515,,,,,,0,,,,,,,,
6,22,1,1,0,1,17,4.9922,,,,,,0,,,,,,,,
6,23,1,1,0,1,12,3.774,1,8,0.031,0,4,1,4,,,,,,,
6,23,1,1,0,1,12,2.9093,,,,,,0,,,,,,,,
6,24,1,1,0,1,26,4.091,,,,,,0,,,,,,,,
6,24,1,1,0,1,2,2.5435,,,,,,0,,,,,,,,
7,4,0,1,1,0,11,3.7308,0,6,,,,0,,,,,,,,
7,5,1,1,1,0,20,4.0768,1,5,0.05,0,1,1,1,,,,,,,
7,6,0,0,1,0,10,3.1949,,,,,,0,,,,,,,,
7,6,0,0,1,0,6,2.8834,,,,,,0,,,,,,,,
7,7,0,0,1,0,12,3.5994,,,,,,0,,,,,,,,
7,8,1,0,1,0,10,3.5639,0,5,,,,0,,,,,,,,
7,8,1,0,1,0,12,3.2605,,,,,,0,,,,,,,,
7,9,0,1,1,0,8,2.0787,0,4,,,,0,,,,,,,,
7,9,0,1,1,0,19,3.2367,,,,,,0,,,,,,,,
7,9,0,1,1,0,24,3.8601,,,,,,0,,,,,,,,
7,10,1,0,1,0,4,2.8378,,,,,,0,,,,,,,,
7,12,0,1,1,0,9,3.1111,0,3,,,,0,,,,,,,,
7,13,1,1,1,0,11,4.6634,3,8,,,,0,,,,,,,,
7,17,1,1,1,0,19,2.7525,,,,,,0,,,,,,,,
7,21,1,0,1,0,28,1.4796,,,,,,0,,,,,,,,
7,23,1,1,1,0,24,3.7927,,,,,,0,,,,,,,,
7,23,1,1,1,0,19,2.8571,,,,,,0,,,,,,,,
7,24,1,1,1,0,14,3.8258,,,,,,0,,,,,,,,
8,1,1,0,1,1,12,4.6942,,,,,,0,,,,,,,,
8,4,0,1,1,1,26,2.6329,0,6,0,0,2,1,2,,,,,,,
8,5,1,1,1,1,8,2.253,0,14,0,1,3,1,4,,,,,,,
8,7,0,0,1,1,24,3.9742,1,9,0.028,2,4,1,6,,,,,,,
8,7,0,0,1,1,12,2.0708,5,30,0.042,0,8,1,8,,,,,,,
8,8,1,0,1,1,2,1.9791,0,11,0,0,2,1,2,,,,,,,
8,9,0,1,1,1,19,3.0675,0,3,0,1,0,1,1,,,,,,,
8,9,0,1,1,1,14,4.033,,,,,,0,,,,,,,,
8,9,0,1,1,1,5,4.3982,,,,,,0,,,,,,,,
8,11,0,1,1,1,21,2.4753,0,7,0,0,1,1,1,,,,,,,
8,14,1,0,1,1,23,2.7675,1,4,,,,0,,,,,,,,
8,14,1,0,1,1,2,3.0433,,,,,,0,,,,,,,,
8,16,0,0,1,1,8,3.3411,2,16,0.031,0,4,1,4,,,,,,,
8,17,1,1,1,1,22,3.4581,4,16,0.063,2,2,1,4,,,,,,,
8,18,0,1,1,1,19,3.1345,3,14,0.054,2,3,1,5,,,,,,,
8,18,0,1,1,1,17,2.1182,0,3,,,,0,,,,,,,,
8,19,0,1,1,1,8,2.6668,,,,,,0,,,,,,,,
8,20,0,0,1,1,15,4.7224,3,20,0.038,1,3,1,4,,,,,,,
